word	Tag	D
neu	a	0.0017873302867552191
Wien	n	0.0015705913294321323
Wiener	a	0.0013911004147161808
Michael	n	0.0012869891980864436
Jahr	n	0.0012209391359087685
Bürgermeister	n	0.0010930314726266743
groß	a	0.0010290094899928445
Häupl	n	0.0009863516685792969
und	n	0.000971816706842695
Ludwig	n	0.0008106466590141405
Mailath-Pokorny	n	0.0007623769558500666
freuen	v	0.0007556840583519516
erst	a	0.00075453489161158
an	n	0.0007089019268579294
Andreas	n	0.0007004512037528656
gut	a	0.0006705023674761881
Ulli	n	0.000663809469978073
Stadträtin	n	0.0006609024776307525
Sima	n	0.0006492745082414713
gestern	r	0.0006463675158941511
Ederer	n	0.00063764653885219
Braune	n	0.0006327114669610239
heute	r	0.0006193256719647937
Montag	n	0.0006018837178808718
Mittwoch	n	0.0005893768356881161
Stadt	n	0.0005620647378218619
Projekt	n	0.0005594279994114386
mehr	r	0.0005408368785871451
Wohnbaustadtrat	n	0.0005323861554820813
Rathaus	n	0.0005265721707874407
Plan	n	0.0005082513039000444
Brigitte	n	0.0004937163421634428
Helmut	n	0.000489660183075751
gemeinsam	r	0.00048702344466532784
Renate	n	0.00048587427792495634
Sebastian	n	0.0004597113467990734
Frau	n	0.0004550465288448043
eröffnen	v	0.00045416761604132993
Erfolg	n	0.0004512606236940096
Kulturstadtrat	n	0.0004425396466520487
zeigen	v	0.000434697582413562
Wagner	n	0.00042712577211197265
Donnerstag	n	0.0004221907002208064
sehr	r	0.00041928370787348607
Umweltstadträtin	n	0.0004154978027226914
Hundstorfer	n	0.00041232055643847395
setzen	v	0.0004096838180280508
Nettig	n	0.0004096838180280508
Präsident	n	0.00040677682568073046
Europa	n	0.00040677682568073046
Bezirk	n	0.00040386983333341015
Kurz	r	0.00040272066659303844
Ried	n	0.0003951488562914491
Kultur	n	0.00039426994348797475
laden	v	0.00039426994348797475
Laska	n	0.0003922418639441288
Otto	n	0.0003884559587933341
Linie	n	0.0003884559587933341
Job	n	0.0003826419740986935
kommend	a	0.0003826419740986935
neu	r	0.0003797349817513732
Gespräch	n	0.00036810701236209193
neu	n	0.0003652000200147715
Stadtrat	n	0.00036317194047092555
bekommen	v	0.0003622930276674512
Initiative	n	0.00036141411486397684
ihr	n	0.0003593860353201309
kennen	v	0.0003526931378220159
Oktober	n	0.0003526931378220159
Spitzenkandidat	n	0.0003526931378220159
Schritt	n	0.0003526931378220159
Samstag	n	0.0003497861454746956
wichtig	a	0.00034397216078005497
nun	r	0.0003407949144958375
werden	v	0.00033322310419424796
Ziel	n	0.000328558286239979
Motto	n	0.000328558286239979
investieren	v	0.000328558286239979
Politik	n	0.000326530206696133
gewinnen	v	0.0003227443015453383
Leben	n	0.0003227443015453383
unterstützen	v	0.0003227443015453383
heuer	r	0.0003169303168506977
Gesetz	n	0.0003169303168506977
Wahl	n	0.00031490223730685173
präsentieren	v	0.0003140233245033774
Oxonitsch	n	0.0003140233245033774
wollen	n	0.0003119952449595314
für	n	0.0003117249910226344
erreichen	v	0.00030820933980873675
Vizebürgermeisterin	n	0.00029746028322292974
Entwurf	n	0.0002957024576159811
Rahmen	n	0.0002957024576159811
Buch	n	0.0002957024576159811
wichtig	r	0.0002957024576159811
Schüler	n	0.0002957024576159811
starten	v	0.0002957024576159811
Geburtstag	n	0.0002957024576159811
nah	a	0.0002936743780721351
Juli	n	0.0002898884729213404
zufrieden	r	0.0002898884729213404
